CID,SMILES
4883049,C1CN(CC2=CC=CC=C21)C(=O)CC(C3=CC=C(C=C3)Cl)NC(=O)N
135401612,C1=CC(=C(N=C1)Cl)NC(=O)CSC2=NC(=CC(=O)N2)N
2812283,CC1=C(C=C(C=C1)S(=O)(=O)N(C)C)NC(=O)NC2=CC=CC=C2
864673,CCN1C(=NN=C1SCC(=O)NC2=CC(=CC=C2)Cl)C
9665831,C1=CC(=CC=C1C(=O)N/N=C/C2=COC=C2)[N+](=O)[O-]
6460129,CC1=C(C(=O)N2C3=CC=CC=C3N=C2N1)CCC(C)C
6900270,C1=CC=C(C=C1)COC2=CC=C(C=C2)/C=N/NC(=O)C3=CC=C(C=C3)O
722875,COC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)C4=CC=CC=C4
4352333,CC1CN(C2=NC3=C(N2C1)C(=O)NC(=O)N3C)C4=CC=CC=C4
4262709,CC1=CC(=CC(=C1)C(=NC2=CC=CC(=C2)C#N)N)C
2111186,CC1CCC2(CC1)C(=O)N(C(=O)N2)CC3=CC=C(C=C3)C(=O)OC
2206416,CC1=C(C=CC=C1Cl)NC(=O)NC2=CN=CC=C2
868561,CC1=C(C(=CC=C1)OCCN2C=CN=C2)C
779382,CCC1=CC=CC(=C1NC(=O)C2=CN=CC=C2)C
667838,C1=CC=C(C=C1)CN2C=CNC2=S
24162519,CC(C(=O)NC1=CC=C(C=C1)C(=O)N)SC2=NC=CN2C
2104065,CC1=C(C(=CC=C1)C)NC(=O)CNC(=O)C2=CC=CC=C2
868113,COC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)NC3=CC=CC=C3)OC
16001575,COCCCNC(=O)CCN1C(=O)CCC(=N1)C2=CC=CC=C2
2115841,C1=CC=C2C(=C1)NC(=N2)NC(=O)C3=CC(=CC(=C3)F)F
992289,CN(CC(=O)NC1=C(N=CC=C1)Cl)S(=O)(=O)C2=CC=C(C=C2)Cl
24792512,CCCC1=NN=C(N1CCOC)SCC(=O)NC2=NC(=CS2)C
8895893,CN1C=CSC1=NC(=O)C2=CC=CC(=C2)C#N
2819305,CC(=O)NNC(=S)NC1=CC(=CC=C1)F
2813818,CC1=C(C(=NO1)NC(=O)CSCC(=O)O)Br
24816590,C1=CC=C(C=C1)SCC(=O)OCC(=O)NNC(=O)C2=CC=C(C=C2)[N+](=O)[O-]
960326,CCC(=O)NC1=CC(=CC=C1)NC(=O)C2=C(C=C(C=C2)C)Cl
817597,CC1=CC=C(C=C1)OCCN2C=C(C3=CC=CC=C32)C=O
2953712,CC(C1=CC=CC=C1)NC(=O)C2=C(C=CC(=C2)Br)Cl
135580037,C1=CC(=C(C=C1[N+](=O)[O-])NC2=C(C=CC3=NON=C32)[N+](=O)[O-])O
135516469,C1=CC(=CC=C1NC(=O)C2=CC3=C(C=C(C=C3)O)OC2=N)Cl
9671299,C/C(=N\NC(=O)OC)/C1=CC=C(C=C1)OC(F)F
2812296,CC1=C(C=C(C=C1)S(=O)(=O)N(C)C)NC(=O)NC2=CC=CC=C2F
19686774,C1CC2=CC=CC=C2N(C1)C(=S)NC3CC3
1452866,CC(C)C(=O)NC1=NC=C(C=C1)NC(=O)CCC2=CC=CC=C2
939366,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)N2CCCCC2
5183504,CCSC1=NCCN1C(=O)CC2=CC=C(C=C2)C3=CC=CC=C3
2812763,C1=CC=C(C=C1)C(CNC(=O)C2=CC=CC=C2C(=O)O)O
6462902,C1CN(CCN1C2=CC=CC=N2)S(=O)(=O)C3=CC=C(C=C3)C(=O)O
624420,CC1=CC(=CC(=C1O)C)C2=NN(C(=O)C3=CC=CC=C32)C
2809825,COC1=CC=C(C=C1)OC2=C(C=C(C=C2)C(F)(F)F)NC(=O)C3=CC=C(C=C3)F
16824683,CC1=CC=C(C=C1)C2=C3N=C(C4=CC=CC=C4N3N=N2)NCCCOC
135558973,C/C(=N\NC1=NC(=NC2=CC=CC=C21)C3=CC=C(C=C3)OC)/C4=CC=C(C=C4)O
863792,CC1=CSC(=N1)NC(=O)CN2CCN(CC2)C3=CC=C(C=C3)OC
2086635,C1=COC(=C1)CNC(=O)COC(=O)/C=C/C2=CC=C(C=C2)[N+](=O)[O-]
9558284,C1CC2=CC=CC=C2/C(=N/NC(=O)CNC3=CC=CC=C3Cl)/C1
2795736,CC1=NC(=CS1)C2=CC=C(S2)S(=O)(=O)NCC3=CC=CC=N3
2534457,C=CCNC(=O)COC(=O)C1=CC(=C(C=C1)Cl)S(=O)(=O)N
7207402,CC1=CSC(=N1)NC(=O)CSC2=NN=C(C=C2)C3=CC=CC=N3
2207291,C1COC2=C(O1)C=CC(=C2)NC(=O)NC3=CC(=CC=C3)[N+](=O)[O-]
2995824,CN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=CO3)Cl
2186494,CC1=C(C=CC(=C1)C(=O)NC(=S)NC2=CC=CC(=C2C)C(=O)O)[N+](=O)[O-]
6858724,CC(C)C1=CC=C(C=C1)/C=N/N2C(=NNC2=S)C3=CC=CC=C3
9624806,COC(=O)N/N=C(\CCC(=O)O)/C1=CC=CS1
9563186,C1CCC(CC1)NC(=O)CC(=O)N/N=C/C2=CC=CC=C2[N+](=O)[O-]
842097,CC1=NN(C(=C1Cl)C(=O)NC(=S)NC2=CC=CC=C2O)C
2259539,CC(C)(C)C1=CC=C(C=C1)/C=C/C(=O)NCCCN2CCOCC2
4426513,C1=CC=C(C(=C1)NC(=O)NCC2=CN=CC=C2)Cl
3826471,COC1=CC=CC=C1N2CCN(CC2)CCC3=CC=CC=C3
4875117,CC1CCCCN1CC2=CC(=O)OC3=C2C=C(C(=C3)C)Cl
17266002,COC1=CC(=C(C=C1)OC)NC(=S)N2CCCC2
1502551,COCC(=O)N1CCN(CC1)C2=NC3=CC=CC=C3O2
2812079,CC(C)(CC(=O)NNC1=C(C=CC=N1)C#N)CC(=O)O
1225785,CC1=C(SC(=N1)NC(=O)C2=C(ON=C2C3=CC=CC=C3)C)C(=O)OC
2225192,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NCC3=CC=CC=C3F
7354609,COC1=CC2=C(C=C1)NC=C2CCNC(=O)CCC3CCCCC3
712559,CC(C)CC(=O)N1CCN(CC1)CC2=CC=C(C=C2)C(F)(F)F
3727856,CC1=C(C=C(N1CC2=CC=C(C=C2)F)C(=O)OC)C(=O)OC
2228338,C1=CN=CC=C1CNC(=O)C2=CC(=C(C=C2Cl)F)F
16286933,CC(C)C(C(=O)N1CCC1)NC(=O)C2=CC=C(C=C2)F
3636761,CC(=O)C1C(=NC2=CC(=CC=C2)Cl)C3=C(C1=O)C(=CC=C3)[N+](=O)[O-]
23724269,CC1CC(C(CN1C)C)NCC2=CC(=C(C=C2)OC)OC.Cl
941651,CN1CCN(CC1)CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C
1362085,COC1=CC=C(C=C1)NC(=O)NC2=NN=C(S2)CC3=CC=C(C=C3)F
863777,C1CN(CC2=CC=CC=C21)S(=O)(=O)C3=CC=CC=C3F
3919936,CCOC(=O)N1CCN(CC1)CC(C2=CNC3=CC=CC=C32)O
3744764,CC1=NC2=C(C=NN2C(=C1)SCC=C)C3=CC=CC=C3
809167,C1=CSC(=C1)C(=O)NNC(=O)C2=CC=C(C=C2)F
3112830,CC1(CC(CCO1)C2=NC(=CS2)C3=CC=C(C=C3)[N+](=O)[O-])C
